"AverageShortestPathLength","Betweenness","Closeness","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Eigenvector","Interactor Type","IsSingleNode","name","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Short Label","Species (NCBI TAX ID)","Species Full Name","Species Short Label","Stress","Subgragh","synonym","systematic name"
,,,,,,,,"protein",,"EMC4",,"false",,"EMC4","EMC4","9606","Homo sapiens","Human",,,"TMEM85","HSPC184"
,,,,,,,,"protein",,"TXNDC16",,"false",,"TXNDC16","TXNDC16","9606","Homo sapiens","Human",,,"KIAA1344",""
,,,,,,,,"protein",,"EMC6",,"false",,"EMC6","EMC6","9606","Homo sapiens","Human",,,"TMEM93",""
,,,,,,,,"protein",,"EMC10",,"false",,"EMC10","EMC10","9606","Homo sapiens","Human",,,"HSS1","UNQ764/PRO1556"
,,,,,,,,"protein",,"C6orf120",,"false",,"C6orf120","C6orf120","9606","Homo sapiens","Human",,,"bA160E12.4",""
,,,,,,,,"protein",,"CARS2",,"false",,"CARS2","CARS2","9606","Homo sapiens","Human",,,"","OK/SW-cl.10"
,,,,,,,,"protein",,"UBE2L1",,"false",,"UBE2L1","UBE2L1","9606","Homo sapiens","Human",,,"UBEL1",""
,,,,,,,,"protein",,"MBNL2",,"false",,"MBNL2","MBNL2","9606","Homo sapiens","Human",,,"PRO2032","RP11-128N14.1"
,,,,,,,,"protein",,"TMEM41B",,"false",,"TMEM41B","TMEM41B","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"ZNF385B",,"false",,"ZNF385B","ZNF385B","9606","Homo sapiens","Human",,,"ZNF533",""
,,,,,,,,"protein",,"SLC27A3",,"false",,"SLC27A3","SLC27A3","9606","Homo sapiens","Human",,,"VLCS-3","PSEC0067"
,,,,,,,,"protein",,"SESN3",,"false",,"SESN3","SESN3","9606","Homo sapiens","Human",,,"SEST3",""
,"0.02040816326530612","0.5012594458438288",,,"3.0",,"0.015601431019604206","protein",,"EFR3A",,"true",,"EFR3A","EFR3A","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"PPAN-P2RY11",,"false",,"PPAN-P2RY11","PPAN-P2RY11","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"TRIM14",,"false",,"TRIM14","TRIM14","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"APOOL",,"false",,"APOOL","APOOL","9606","Homo sapiens","Human",,,"UNQ8193","RP1-215K18.3"
,,,,,,,,"protein",,"ATP2C1",,"false",,"ATP2C1","ATP2C1","9606","Homo sapiens","Human",,,"hSPCA1","HUSSY-28"
,,,,,,,,"protein",,"TDRKH",,"false",,"TDRKH","TDRKH","9606","Homo sapiens","Human",,,"TDRD2","RP11-98D18.8"
,,,,,,,,"protein",,"RNF222",,"false",,"RNF222","RNF222","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"ATP5J2-PTCD1",,"false",,"ATP5J2-PTCD1","ATP5J2-PTCD1","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"SPRR1A",,"false",,"SPRR1A","SPRR1A","9606","Homo sapiens","Human",,,"SPRK",""
,,,,,,,,"protein",,"IGHV3-23",,"false",,"IGHV3-23","IGHV3-23","9606","Homo sapiens","Human",,,"VH26",""
,,,,,,,,"protein",,"PPWD1",,"false",,"PPWD1","PPWD1","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"APOBEC3B",,"false",,"APOBEC3B","APOBEC3B","9606","Homo sapiens","Human",,,"bK150C2.2","CTA-150C2.15-003"
,,,,,,,,"protein",,"TBL1Y",,"false",,"TBL1Y","TBL1Y","9606","Homo sapiens","Human",,,"TBL1",""
,,,,,,,,"protein",,"C15orf52",,"false",,"C15orf52","C15orf52","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"TP53INP2",,"false",,"TP53INP2","TP53INP2","9606","Homo sapiens","Human",,,"dJ1181N3.1","RP5-1181N3.1"
,,,,,,,,"protein",,"US1",,"false",,"US1","US1","10298","Human Herpesvirus 1","Human Herpesvirus 1",,,"","HHV1gp085"
,,,,,,,,"protein",,"FNIP2",,"false",,"FNIP2","FNIP2","9606","Homo sapiens","Human",,,"MAPO1",""
,,,,,,,,"protein",,"ATG4D",,"false",,"ATG4D","ATG4D","9606","Homo sapiens","Human",,,"AUTL4",""
,,,,,,,,"protein",,"STIL",,"false",,"STIL","STIL","9606","Homo sapiens","Human",,,"SIL","RP1-18D14.8"
,,,,,,,,"protein",,"PLEKHG3",,"false",,"PLEKHG3","PLEKHG3","9606","Homo sapiens","Human",,,"KIAA0599",""
,,,,,,,,"protein",,"HEATR5B",,"false",,"HEATR5B","HEATR5B","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"GAS2L3",,"false",,"GAS2L3","GAS2L3","9606","Homo sapiens","Human",,,"G2L3",""
,"0.0","0.5004191114836547",,,"1.0",,"0.009098297916352749","protein",,"EXD2",,"true",,"EXD2","EXD2","9606","Homo sapiens","Human",,,"EXDL2",""
,,,,,,,,"protein",,"CKAP2L",,"false",,"CKAP2L","CKAP2L","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"RRP36",,"false",,"RRP36","RRP36","9606","Homo sapiens","Human",,,"dJ20C7.4","HSPC253"
