"AverageShortestPathLength","Betweenness","Closeness","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Eigenvector","Interactor Type","IsSingleNode","name","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Short Label","Species (NCBI TAX ID)","Species Full Name","Species Short Label","Stress","Subgragh","synonym","systematic name"
,,,,,,,,"ribonucleic acid",,"ABCB10",,"false",,"ABCB10","ABCB10","9606","Homo sapiens","Human",,,"MTABC2",""
,,,,,,,,"ribonucleic acid",,"ZFP91-CNTF",,"false",,"ZFP91-CNTF","ZFP91-CNTF","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"LEPROTL1",,"false",,"LEPROTL1","LEPROTL1","9606","Homo sapiens","Human",,,"Vps55","My047"
,,,,,,,,"ribonucleic acid",,"NR3C1",,"false",,"NR3C1","NR3C1","9606","Homo sapiens","Human",,,"GRL",""
,,,,,,,,"ribonucleic acid",,"CCNK",,"false",,"CCNK","CCNK","9606","Homo sapiens","Human",,,"CPR4",""
,,,,,,,,"ribonucleic acid",,"DCBLD2",,"false",,"DCBLD2","DCBLD2","9606","Homo sapiens","Human",,,"ESDN",""
,,,,,,,,"ribonucleic acid",,"PPP1R3C",,"false",,"PPP1R3C","PPP1R3C","9606","Homo sapiens","Human",,,"PPP1R5",""
,,,,,,,,"ribonucleic acid",,"KIAA2013",,"false",,"KIAA2013","KIAA2013","9606","Homo sapiens","Human",,,"","RP5-1077B9.1"
,,,,,,,,"ribonucleic acid",,"PANK3",,"false",,"PANK3","PANK3","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"DNAJA2",,"false",,"DNAJA2","DNAJA2","9606","Homo sapiens","Human",,,"RDJ2",""
,,,,,,,,"ribonucleic acid",,"TEAD2",,"false",,"TEAD2","TEAD2","9606","Homo sapiens","Human",,,"TEF4",""
,,,,,,,,"ribonucleic acid",,"HIATL1",,"false",,"HIATL1","HIATL1","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"CKAP4",,"false",,"CKAP4","CKAP4","9606","Homo sapiens","Human",,,"p63",""
,,,,,,,,"ribonucleic acid",,"CCDC28A",,"false",,"CCDC28A","CCDC28A","9606","Homo sapiens","Human",,,"CCRL1AP","RP3-509I19.10-001"
,,,,,,,,"ribonucleic acid",,"CTTN",,"false",,"CTTN","CTTN","9606","Homo sapiens","Human",,,"EMS1",""
,,,,,,,,"ribonucleic acid",,"UBE2N",,"false",,"UBE2N","UBE2N","9606","Homo sapiens","Human",,,"UbcH13",""
,,,,,,,,"ribonucleic acid",,"FAM73A",,"false",,"FAM73A","FAM73A","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"GNA13",,"false",,"GNA13","GNA13","9606","Homo sapiens","Human",,,"G13",""
,,,,,,,,"ribonucleic acid",,"ZDHHC14",,"false",,"ZDHHC14","ZDHHC14","9606","Homo sapiens","Human",,,"NEW1CP","RP3-481C9.1"
,,,,,,,,"ribonucleic acid",,"MITF",,"false",,"MITF","MITF","9606","Homo sapiens","Human",,,"bHLHe32",""
,,,,,,,,"ribonucleic acid",,"SERTAD2",,"false",,"SERTAD2","SERTAD2","9606","Homo sapiens","Human",,,"TRIP-Br2",""
,,,,,,,,"ribonucleic acid",,"NRIP1",,"false",,"NRIP1","NRIP1","9606","Homo sapiens","Human",,,"RIP140",""
,,,,,,,,"ribonucleic acid",,"ERRFI1",,"false",,"ERRFI1","ERRFI1","9606","Homo sapiens","Human",,,"RALT","CTA-215D11.2"
,,,,,,,,"ribonucleic acid",,"PIGA",,"false",,"PIGA","PIGA","9606","Homo sapiens","Human",,,"PNH1",""
,,,,,,,,"ribonucleic acid",,"MEX3C",,"false",,"MEX3C","MEX3C","9606","Homo sapiens","Human",,,"RNF194","BM-013"
,,,,,,,,"ribonucleic acid",,"C16orf72",,"false",,"C16orf72","C16orf72","9606","Homo sapiens","Human",,,"PRO0149",""
,,,,,,,,"ribonucleic acid",,"PTDSS1",,"false",,"PTDSS1","PTDSS1","9606","Homo sapiens","Human",,,"PSSA",""
,,,,,,,,"ribonucleic acid",,"CSNK2A1",,"false",,"CSNK2A1","CSNK2A1","9606","Homo sapiens","Human",,,"CSNK2A3",""
,,,,,,,,"ribonucleic acid",,"MMD",,"false",,"MMD","MMD","9606","Homo sapiens","Human",,,"PAQR11",""
,,,,,,,,"ribonucleic acid",,"SLC10A3",,"false",,"SLC10A3","SLC10A3","9606","Homo sapiens","Human",,,"P3","XX-FW89031B12.2"
,,,,,,,,"ribonucleic acid",,"HNRNPUL1",,"false",,"HNRNPUL1","HNRNPUL1","9606","Homo sapiens","Human",,,"HNRPUL1",""
,,,,,,,,"ribonucleic acid",,"EFR3A",,"false",,"EFR3A","EFR3A","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"ARF5",,"false",,"ARF5","ARF5","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"QKI",,"false",,"QKI","QKI","9606","Homo sapiens","Human",,,"hqkI",""
,,,,,,,,"ribonucleic acid",,"SPIN4",,"false",,"SPIN4","SPIN4","9606","Homo sapiens","Human",,,"","RP11-93B10.1"
,,,,,,,,"ribonucleic acid",,"ARL6IP1",,"false",,"ARL6IP1","ARL6IP1","9606","Homo sapiens","Human",,,"SPG61",""
,,,,,,,,"ribonucleic acid",,"LMNB1",,"false",,"LMNB1","LMNB1","9606","Homo sapiens","Human",,,"LMNB",""
,,,,,,,,"ribonucleic acid",,"CD27",,"false",,"CD27","CD27","9606","Homo sapiens","Human",,,"Tp55",""
,,,,,,,,"ribonucleic acid",,"PANK1",,"false",,"PANK1","PANK1","9606","Homo sapiens","Human",,,"PANK",""
,,,,,,,,"ribonucleic acid",,"UBE2G1",,"false",,"UBE2G1","UBE2G1","9606","Homo sapiens","Human",,,"UBE2G",""
,,,,,,,,"ribonucleic acid",,"YY1",,"false",,"YY1","YY1","9606","Homo sapiens","Human",,,"YIN-YANG-1",""
,,,,,,,,"ribonucleic acid",,"SET",,"false",,"SET","SET","9606","Homo sapiens","Human",,,"TAF-IBETA","RP11-216B9.3"
,,,,,,,,"ribonucleic acid",,"LRRC37B",,"false",,"LRRC37B","LRRC37B","9606","Homo sapiens","Human",,,"LRRC37",""
,,,,,,,,"ribonucleic acid",,"CCNJ",,"false",,"CCNJ","CCNJ","9606","Homo sapiens","Human",,,"bA690P14.1",""
,,,,,,,,"ribonucleic acid",,"UGDH",,"false",,"UGDH","UGDH","9606","Homo sapiens","Human",,,"UGD",""
,,,,,,,,"ribonucleic acid",,"RAPH1",,"false",,"RAPH1","RAPH1","9606","Homo sapiens","Human",,,"RalGDS/AF-6",""
,,,,,,,,"ribonucleic acid",,"C1orf174",,"false",,"C1orf174","C1orf174","9606","Homo sapiens","Human",,,"","RP13-531C17.2"
,,,,,,,,"ribonucleic acid",,"ACER3",,"false",,"ACER3","ACER3","9606","Homo sapiens","Human",,,"PHCA",""
,,,,,,,,"ribonucleic acid",,"RAB5B",,"false",,"RAB5B","RAB5B","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"AP1S2",,"false",,"AP1S2","AP1S2","9606","Homo sapiens","Human",,,"SIGMA1B","DC22"
,,,,,,,,"ribonucleic acid",,"DUSP11",,"false",,"DUSP11","DUSP11","9606","Homo sapiens","Human",,,"PIR1",""
,,,,,,,,"ribonucleic acid",,"TAF12",,"false",,"TAF12","TAF12","9606","Homo sapiens","Human",,,"TAFII20",""
,,,,,,,,"ribonucleic acid",,"TRIM33",,"false",,"TRIM33","TRIM33","9606","Homo sapiens","Human",,,"TIFGAMMA",""
,,,,,,,,"ribonucleic acid",,"TBPL1",,"false",,"TBPL1","TBPL1","9606","Homo sapiens","Human",,,"TRF2","RP1-73H22.1"
,,,,,,,,"ribonucleic acid",,"STX11",,"false",,"STX11","STX11","9606","Homo sapiens","Human",,,"HPLH4",""
,,,,,,,,"ribonucleic acid",,"PAQR7",,"false",,"PAQR7","PAQR7","9606","Homo sapiens","Human",,,"mSR","RP1-125I3.1"
,,,,,,,,"ribonucleic acid",,"MID1",,"false",,"MID1","MID1","9606","Homo sapiens","Human",,,"ZNFXY","RP11-120D5.1"
,,,,,,,,"ribonucleic acid",,"RBMX2",,"false",,"RBMX2","RBMX2","9606","Homo sapiens","Human",,,"CGI-79","RP1-20I3.2"
,,,,,,,,"ribonucleic acid",,"WIPF1",,"false",,"WIPF1","WIPF1","9606","Homo sapiens","Human",,,"WIP",""
,,,,,,,,"ribonucleic acid",,"KCNAB1",,"false",,"KCNAB1","KCNAB1","9606","Homo sapiens","Human",,,"hKvb3",""
,,,,,,,,"ribonucleic acid",,"TRAM1",,"false",,"TRAM1","TRAM1","9606","Homo sapiens","Human",,,"TRAMP",""
,,,,,,,,"ribonucleic acid",,"EPHA2",,"false",,"EPHA2","EPHA2","9606","Homo sapiens","Human",,,"ECK",""
,,,,,,,,"ribonucleic acid",,"HAUS6",,"false",,"HAUS6","HAUS6","9606","Homo sapiens","Human",,,"FAM29A","RP11-296P7.3"
,,,,,,,,"ribonucleic acid",,"NETO2",,"false",,"NETO2","NETO2","9606","Homo sapiens","Human",,,"NEOT2","UNQ1926/PRO4401"
,,,,,,,,"ribonucleic acid",,"KAZN",,"false",,"KAZN","KAZN","9606","Homo sapiens","Human",,,"KAZ","RP1-21O18.1"
,,,,,,,,"ribonucleic acid",,"ELOVL5",,"false",,"ELOVL5","ELOVL5","9606","Homo sapiens","Human",,,"dJ483K16.1","RP3-483K16.1"
,,,,,,,,"ribonucleic acid",,"CALM3",,"false",,"CALM3","CALM3","9606","Homo sapiens","Human",,,"PHKD3",""
,,,,,,,,"ribonucleic acid",,"ZBTB3",,"false",,"ZBTB3","ZBTB3","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"LUC7L2",,"false",,"LUC7L2","LUC7L2","9606","Homo sapiens","Human",,,"LUC7B2","CGI-59"
,,,,,,,,"ribonucleic acid",,"TM9SF4",,"false",,"TM9SF4","TM9SF4","9606","Homo sapiens","Human",,,"dJ836N17.2","RP5-836N17.2"
,,,,,,,,"ribonucleic acid",,"NRAS",,"false",,"NRAS","NRAS","9606","Homo sapiens","Human",,,"NS6","RP5-1000E10.2"
,,,,,,,,"ribonucleic acid",,"DPY19L4",,"false",,"DPY19L4","DPY19L4","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"COTL1",,"false",,"COTL1","COTL1","9606","Homo sapiens","Human",,,"CLP",""
,,,,,,,,"ribonucleic acid",,"MCM4",,"false",,"MCM4","MCM4","9606","Homo sapiens","Human",,,"hCdc21",""
,,,,,,,,"ribonucleic acid",,"FRMD8",,"false",,"FRMD8","FRMD8","9606","Homo sapiens","Human",,,"","FKSG44"
,,,,,,,,"ribonucleic acid",,"FBXO30",,"false",,"FBXO30","FBXO30","9606","Homo sapiens","Human",,,"Fbx30","RP11-545I5.4"
,,,,,,,,"ribonucleic acid",,"CTGF",,"false",,"CTGF","CTGF","9606","Homo sapiens","Human",,,"NOV2",""
,,,,,,,,"ribonucleic acid",,"ACACB",,"false",,"ACACB","ACACB","9606","Homo sapiens","Human",,,"HACC275",""
,,,,,,,,"ribonucleic acid",,"CBFB",,"false",,"CBFB","CBFB","9606","Homo sapiens","Human",,,"PEBP2B",""
,,,,,,,,"ribonucleic acid",,"LPP",,"false",,"LPP","LPP","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"GMCL1",,"false",,"GMCL1","GMCL1","9606","Homo sapiens","Human",,,"SPATA29",""
,,,,,,,,"ribonucleic acid",,"HMGB2",,"false",,"HMGB2","HMGB2","9606","Homo sapiens","Human",,,"HMG2",""
,,,,,,,,"ribonucleic acid",,"SFXN3",,"false",,"SFXN3","SFXN3","9606","Homo sapiens","Human",,,"SFX3","RP11-108L7.3"
,,,,,,,,"ribonucleic acid",,"TBCB",,"false",,"TBCB","TBCB","9606","Homo sapiens","Human",,,"CKAPI",""
,,,,,,,,"ribonucleic acid",,"RFWD3",,"false",,"RFWD3","RFWD3","9606","Homo sapiens","Human",,,"RNF201",""
,,,,,,,,"ribonucleic acid",,"BTF3L4",,"false",,"BTF3L4","BTF3L4","9606","Homo sapiens","Human",,,"","RP4-800M22.5"
,,,,,,,,"ribonucleic acid",,"JADE3",,"false",,"JADE3","JADE3","9606","Homo sapiens","Human",,,"PHF16",""
,,,,,,,,"ribonucleic acid",,"LIMCH1",,"false",,"LIMCH1","LIMCH1","9606","Homo sapiens","Human",,,"LMO7B",""
,,,,,,,,"ribonucleic acid",,"PDCD7",,"false",,"PDCD7","PDCD7","9606","Homo sapiens","Human",,,"HES18",""
,,,,,,,,"ribonucleic acid",,"GAS1",,"false",,"GAS1","GAS1","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"NIN",,"false",,"NIN","NIN","9606","Homo sapiens","Human",,,"SCKL7",""
,,,,,,,,"ribonucleic acid",,"CDK6",,"false",,"CDK6","CDK6","9606","Homo sapiens","Human",,,"PLSTIRE",""
,,,,,,,,"ribonucleic acid",,"PARP1",,"false",,"PARP1","PARP1","9606","Homo sapiens","Human",,,"pADPRT-1","RP11-125A15.2"
,,,,,,,,"ribonucleic acid",,"CSDE1",,"false",,"CSDE1","CSDE1","9606","Homo sapiens","Human",,,"UNR","RP5-1000E10.3"
,,,,,,,,"ribonucleic acid",,"KHSRP",,"false",,"KHSRP","KHSRP","9606","Homo sapiens","Human",,,"KSRP",""
,,,,,,,,"ribonucleic acid",,"ZNF714",,"false",,"ZNF714","ZNF714","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"TMED4",,"false",,"TMED4","TMED4","9606","Homo sapiens","Human",,,"p24alpha3",""
,,,,,,,,"ribonucleic acid",,"TUBA3D",,"false",,"TUBA3D","TUBA3D","9606","Homo sapiens","Human",,,"H2-ALPHA",""
,,,,,,,,"ribonucleic acid",,"GLTP",,"false",,"GLTP","GLTP","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"SCP2",,"false",,"SCP2","SCP2","9606","Homo sapiens","Human",,,"SCPX",""
,,,,,,,,"ribonucleic acid",,"PRRC2C",,"false",,"PRRC2C","PRRC2C","9606","Homo sapiens","Human",,,"XTP2",""
,,,,,,,,"ribonucleic acid",,"ATP6V1A",,"false",,"ATP6V1A","ATP6V1A","9606","Homo sapiens","Human",,,"Vma1",""
,,,,,,,,"ribonucleic acid",,"SPPL3",,"false",,"SPPL3","SPPL3","9606","Homo sapiens","Human",,,"PSL4","UNQ1887"
,,,,,,,,"ribonucleic acid",,"KIAA1715",,"false",,"KIAA1715","KIAA1715","9606","Homo sapiens","Human",,,"ulnaless",""
,,,,,,,,"ribonucleic acid",,"POLR2A",,"false",,"POLR2A","POLR2A","9606","Homo sapiens","Human",,,"hsRPB1",""
,,,,,,,,"ribonucleic acid",,"OSTF1",,"false",,"OSTF1","OSTF1","9606","Homo sapiens","Human",,,"bA235O14.1",""
,,,,,,,,"ribonucleic acid",,"NAV1",,"false",,"NAV1","NAV1","9606","Homo sapiens","Human",,,"UNC53H1",""
,,,,,,,,"ribonucleic acid",,"CDC23",,"false",,"CDC23","CDC23","9606","Homo sapiens","Human",,,"CUT23",""
,,,,,,,,"ribonucleic acid",,"BAG4",,"false",,"BAG4","BAG4","9606","Homo sapiens","Human",,,"SODD",""
,,,,,,,,"ribonucleic acid",,"DRAM2",,"false",,"DRAM2","DRAM2","9606","Homo sapiens","Human",,,"WWFQ154","PSEC0031"
,,,,,,,,"ribonucleic acid",,"EXPH5",,"false",,"EXPH5","EXPH5","9606","Homo sapiens","Human",,,"SLAC2B",""
,,,,,,,,"ribonucleic acid",,"TSPAN9",,"false",,"TSPAN9","TSPAN9","9606","Homo sapiens","Human",,,"PP1057",""
,,,,,,,,"ribonucleic acid",,"BCAP29",,"false",,"BCAP29","BCAP29","9606","Homo sapiens","Human",,,"BAP29",""
,,,,,,,,"ribonucleic acid",,"HECA",,"false",,"HECA","HECA","9606","Homo sapiens","Human",,,"dJ225E12.1",""
,,,,,,,,"ribonucleic acid",,"NSUN6",,"false",,"NSUN6","NSUN6","9606","Homo sapiens","Human",,,"NOPD1","RP11-139J15.2"
,,,,,,,,"ribonucleic acid",,"LDHAL6A",,"false",,"LDHAL6A","LDHAL6A","9606","Homo sapiens","Human",,,"LDH6A",""
,,,,,,,,"ribonucleic acid",,"ADAM23",,"false",,"ADAM23","ADAM23","9606","Homo sapiens","Human",,,"MDC3",""
,,,,,,,,"ribonucleic acid",,"RAB7A",,"false",,"RAB7A","RAB7A","9606","Homo sapiens","Human",,,"RAB7",""
,,,,,,,,"ribonucleic acid",,"TGFA",,"false",,"TGFA","TGFA","9606","Homo sapiens","Human",,,"TFGA",""
,,,,,,,,"ribonucleic acid",,"PDCL3",,"false",,"PDCL3","PDCL3","9606","Homo sapiens","Human",,,"VIAF1",""
,,,,,,,,"ribonucleic acid",,"RBM4B",,"false",,"RBM4B","RBM4B","9606","Homo sapiens","Human",,,"ZCRB3B",""
,,,,,,,,"ribonucleic acid",,"NUTF2",,"false",,"NUTF2","NUTF2","9606","Homo sapiens","Human",,,"PP15",""
,,,,,,,,"ribonucleic acid",,"COQ10B",,"false",,"COQ10B","COQ10B","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"MTMR6",,"false",,"MTMR6","MTMR6","9606","Homo sapiens","Human",,,"","RP11-271M24.1"
,,,,,,,,"ribonucleic acid",,"TSPYL1",,"false",,"TSPYL1","TSPYL1","9606","Homo sapiens","Human",,,"TSPYL",""
,,,,,,,,"ribonucleic acid",,"RICTOR",,"false",,"RICTOR","RICTOR","9606","Homo sapiens","Human",,,"hAVO3",""
,,,,,,,,"ribonucleic acid",,"FAM217B",,"false",,"FAM217B","FAM217B","9606","Homo sapiens","Human",,,"dJ551D2.5",""
,,,,,,,,"ribonucleic acid",,"FRS3",,"false",,"FRS3","FRS3","9606","Homo sapiens","Human",,,"SNT2","RP11-298J23.2"
,,,,,,,,"ribonucleic acid",,"PRMT6",,"false",,"PRMT6","PRMT6","9606","Homo sapiens","Human",,,"HRMT1L6",""
,,,,,,,,"ribonucleic acid",,"SHQ1",,"false",,"SHQ1","SHQ1","9606","Homo sapiens","Human",,,"Shq1p",""
,,,,,,,,"ribonucleic acid",,"RABL2B",,"false",,"RABL2B","RABL2B","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"CXCL16",,"false",,"CXCL16","CXCL16","9606","Homo sapiens","Human",,,"SRPSOX","UNQ2759/PRO6714"
,,,,,,,,"ribonucleic acid",,"NHLH1",,"false",,"NHLH1","NHLH1","9606","Homo sapiens","Human",,,"bHLHa35","RP11-517F10.2"
,,,,,,,,"ribonucleic acid",,"MCU",,"false",,"MCU","MCU","9606","Homo sapiens","Human",,,"CCDC109A",""
,,,,,,,,"ribonucleic acid",,"GNE",,"false",,"GNE","GNE","9606","Homo sapiens","Human",,,"Uae1",""
,,,,,,,,"ribonucleic acid",,"F11R",,"false",,"F11R","F11R","9606","Homo sapiens","Human",,,"PAM-1","RP11-544M22.2"
,,,,,,,,"ribonucleic acid",,"IGF2R",,"false",,"IGF2R","IGF2R","9606","Homo sapiens","Human",,,"MPRI",""
,,,,,,,,"ribonucleic acid",,"BCL9",,"false",,"BCL9","BCL9","9606","Homo sapiens","Human",,,"LGS",""
,,,,,,,,"ribonucleic acid",,"SUSD6",,"false",,"SUSD6","SUSD6","9606","Homo sapiens","Human",,,"KIAA0247",""
,,,,,,,,"ribonucleic acid",,"GOLPH3L",,"false",,"GOLPH3L","GOLPH3L","9606","Homo sapiens","Human",,,"GPP34R","RP11-54A4.7"
,,,,,,,,"ribonucleic acid",,"STAT3",,"false",,"STAT3","STAT3","9606","Homo sapiens","Human",,,"HIES",""
,,,,,,,,"ribonucleic acid",,"PABPN1",,"false",,"PABPN1","PABPN1","9606","Homo sapiens","Human",,,"PABP2",""
,,,,,,,,"ribonucleic acid",,"TTC5",,"false",,"TTC5","TTC5","9606","Homo sapiens","Human",,,"Strap",""
,,,,,,,,"ribonucleic acid",,"GTF3C1",,"false",,"GTF3C1","GTF3C1","9606","Homo sapiens","Human",,,"TFIIICalpha",""
,,,,,,,,"ribonucleic acid",,"OR6T1",,"false",,"OR6T1","OR6T1","9606","Homo sapiens","Human",,,"OR11-277",""
,,,,,,,,"ribonucleic acid",,"TMEM134",,"false",,"TMEM134","TMEM134","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"RBM47",,"false",,"RBM47","RBM47","9606","Homo sapiens","Human",,,"NET18",""
,,,,,,,,"ribonucleic acid",,"FAM192A",,"false",,"FAM192A","FAM192A","9606","Homo sapiens","Human",,,"NIP30","CDA10"
,,,,,,,,"ribonucleic acid",,"ALPI",,"false",,"ALPI","ALPI","9606","Homo sapiens","Human",,,"IAP",""
,,,,,,,,"ribonucleic acid",,"PCSK7",,"false",,"PCSK7","PCSK7","9606","Homo sapiens","Human",,,"SPC7",""
,,,,,,,,"ribonucleic acid",,"TCTN2",,"false",,"TCTN2","TCTN2","9606","Homo sapiens","Human",,,"TECT2",""
,,,,,,,,"ribonucleic acid",,"SMG7",,"false",,"SMG7","SMG7","9606","Homo sapiens","Human",,,"SGA56M","RP1-127C7.1"
,,,,,,,,"ribonucleic acid",,"SEC14L4",,"false",,"SEC14L4","SEC14L4","9606","Homo sapiens","Human",,,"TAP3",""
,,,,,,,,"ribonucleic acid",,"NUP93",,"false",,"NUP93","NUP93","9606","Homo sapiens","Human",,,"NIC96",""
,,,,,,,,"ribonucleic acid",,"TGIF1",,"false",,"TGIF1","TGIF1","9606","Homo sapiens","Human",,,"TGIF",""
,,,,,,,,"ribonucleic acid",,"EZR",,"false",,"EZR","EZR","9606","Homo sapiens","Human",,,"VIL2",""
,,,,,,,,"ribonucleic acid",,"TIMM22",,"false",,"TIMM22","TIMM22","9606","Homo sapiens","Human",,,"TIM22",""
,,,,,,,,"ribonucleic acid",,"ZNF77",,"false",,"ZNF77","ZNF77","9606","Homo sapiens","Human",,,"pT1",""
,,,,,,,,"ribonucleic acid",,"DMKN",,"false",,"DMKN","DMKN","9606","Homo sapiens","Human",,,"ZD52F10","UNQ729/PRO1411"
,,,,,,,,"ribonucleic acid",,"VGLL4",,"false",,"VGLL4","VGLL4","9606","Homo sapiens","Human",,,"VGL-4",""
,,,,,,,,"ribonucleic acid",,"JUND",,"false",,"JUND","JUND","9606","Homo sapiens","Human",,,"AP-1",""
,,,,,,,,"ribonucleic acid",,"DVL2",,"false",,"DVL2","DVL2","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"RQCD1",,"false",,"RQCD1","RQCD1","9606","Homo sapiens","Human",,,"RCD1",""
,,,,,,,,"ribonucleic acid",,"GBE1",,"false",,"GBE1","GBE1","9606","Homo sapiens","Human",,,"GSD4",""
,,,,,,,,"ribonucleic acid",,"GLUD1",,"false",,"GLUD1","GLUD1","9606","Homo sapiens","Human",,,"GLUD",""
,,,,,,,,"ribonucleic acid",,"DCAF12",,"false",,"DCAF12","DCAF12","9606","Homo sapiens","Human",,,"WDR40A",""
,,,,,,,,"ribonucleic acid",,"ZNF234",,"false",,"ZNF234","ZNF234","9606","Homo sapiens","Human",,,"ZNF269",""
,,,,,,,,"ribonucleic acid",,"TMEM207",,"false",,"TMEM207","TMEM207","9606","Homo sapiens","Human",,,"UNQ846","UNQ846/PRO1784"
,,,,,,,,"ribonucleic acid",,"TRIB1",,"false",,"TRIB1","TRIB1","9606","Homo sapiens","Human",,,"TRB1",""
,,,,,,,,"ribonucleic acid",,"UBE2E2",,"false",,"UBE2E2","UBE2E2","9606","Homo sapiens","Human",,,"UBCH8",""
,,,,,,,,"ribonucleic acid",,"ADAMTSL5",,"false",,"ADAMTSL5","ADAMTSL5","9606","Homo sapiens","Human",,,"THSD6",""
,,,,,,,,"ribonucleic acid",,"SEC22B",,"false",,"SEC22B","SEC22B","9606","Homo sapiens","Human",,,"SEC22L1",""
,,,,,,,,"ribonucleic acid",,"YTHDF2",,"false",,"YTHDF2","YTHDF2","9606","Homo sapiens","Human",,,"NY-REN-2",""
,,,,,,,,"ribonucleic acid",,"DDA1",,"false",,"DDA1","DDA1","9606","Homo sapiens","Human",,,"PCIA1",""
,,,,,,,,"ribonucleic acid",,"CASP3",,"false",,"CASP3","CASP3","9606","Homo sapiens","Human",,,"SCA-1",""
,,,,,,,,"ribonucleic acid",,"FAM117B",,"false",,"FAM117B","FAM117B","9606","Homo sapiens","Human",,,"ALS2CR13",""
,,,,,,,,"ribonucleic acid",,"H2AFV",,"false",,"H2AFV","H2AFV","9606","Homo sapiens","Human",,,"H2AV",""
,,,,,,,,"ribonucleic acid",,"PDCD6IP",,"false",,"PDCD6IP","PDCD6IP","9606","Homo sapiens","Human",,,"HP95",""
,,,,,,,,"ribonucleic acid",,"LSM11",,"false",,"LSM11","LSM11","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"NR5A1",,"false",,"NR5A1","NR5A1","9606","Homo sapiens","Human",,,"SRXY3","RP11-101K10.1"
,,,,,,,,"ribonucleic acid",,"BASP1",,"false",,"BASP1","BASP1","9606","Homo sapiens","Human",,,"NAP22",""
,,,,,,,,"ribonucleic acid",,"NRIP3",,"false",,"NRIP3","NRIP3","9606","Homo sapiens","Human",,,"NY-SAR-105",""
,,,,,,,,"ribonucleic acid",,"AEBP2",,"false",,"AEBP2","AEBP2","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"C1QL1",,"false",,"C1QL1","C1QL1","9606","Homo sapiens","Human",,,"CRF",""
,,,,,,,,"ribonucleic acid",,"KATNBL1",,"false",,"KATNBL1","KATNBL1","9606","Homo sapiens","Human",,,"C15orf29",""
,,,,,,,,"ribonucleic acid",,"ATG5",,"false",,"ATG5","ATG5","9606","Homo sapiens","Human",,,"hAPG5",""
,,,,,,,,"ribonucleic acid",,"ZIC2",,"false",,"ZIC2","ZIC2","9606","Homo sapiens","Human",,,"HPE5",""
,,,,,,,,"ribonucleic acid",,"STRN3",,"false",,"STRN3","STRN3","9606","Homo sapiens","Human",,,"SG2NA",""
,,,,,,,,"ribonucleic acid",,"C1orf86",,"false",,"C1orf86","C1orf86","9606","Homo sapiens","Human",,,"FP7162","RP11-181G12.3"
,,,,,,,,"ribonucleic acid",,"PDSS2",,"false",,"PDSS2","PDSS2","9606","Homo sapiens","Human",,,"hDLP1","RP11-59I9.3"
,,,,,,,,"ribonucleic acid",,"CCDC92",,"false",,"CCDC92","CCDC92","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"HDAC2",,"false",,"HDAC2","HDAC2","9606","Homo sapiens","Human",,,"YAF1",""
,,,,,,,,"ribonucleic acid",,"PUS7",,"false",,"PUS7","PUS7","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"PRKDC",,"false",,"PRKDC","PRKDC","9606","Homo sapiens","Human",,,"p350",""
,,,,,,,,"ribonucleic acid",,"STC2",,"false",,"STC2","STC2","9606","Homo sapiens","Human",,,"STCRP",""
,,,,,,,,"ribonucleic acid",,"SRBD1",,"false",,"SRBD1","SRBD1","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"SETD9",,"false",,"SETD9","SETD9","9606","Homo sapiens","Human",,,"C5orf35",""
,,,,,,,,"ribonucleic acid",,"ARL2BP",,"false",,"ARL2BP","ARL2BP","9606","Homo sapiens","Human",,,"RP66",""
